experiment,model_name,conv_filters,dropout_rate,kernel_sizes,pooling_type,test_macro_f1,type,validation_macro_f1,backend,search,beam_width,max_caption_length,model_input_length,bleu4,meteor,num_predictions,batch_size,execution_time_seconds,seconds_per_image
init_rnn_layers2_hidden4_scratch_greedy_maxlen20,init_rnn_layers2_hidden4,,,,,,Captioning,,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,,
init_rnn_layers2_hidden4_scratch_greedy_maxlen38,init_rnn_layers2_hidden4,,,,,,Captioning,,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,,
init_rnn_layers3_hidden2_keras_greedy_maxlen10,init_rnn_layers3_hidden2,,,,,,Captioning,,keras,greedy,,10,38,0.0,0.0,1000,1024,,
init_rnn_layers3_hidden2_keras_greedy_maxlen38,init_rnn_layers3_hidden2,,,,,,Captioning,,keras,greedy,,38,38,0.0,0.0,1000,1024,,
init_rnn_layers3_hidden2_scratch_greedy_maxlen10,init_rnn_layers3_hidden2,,,,,,Captioning,,scratch,greedy,,10,38,0.0,0.0,1000,1024,,
init_rnn_layers3_hidden2_scratch_greedy_maxlen20,init_rnn_layers3_hidden2,,,,,,Captioning,,scratch,greedy,,20,38,0.0,0.0,1000,1024,,
init_rnn_layers3_hidden2_scratch_greedy_maxlen38,init_rnn_layers3_hidden2,,,,,,Captioning,,scratch,greedy,,38,38,0.0,0.0,1000,1024,,
init_rnn_layers3_hidden4_keras_greedy_maxlen10,init_rnn_layers3_hidden4,,,,,,Captioning,,keras,greedy,,10,38,0.0,0.0,1000,1024,,
init_rnn_layers3_hidden4_keras_greedy_maxlen38,init_rnn_layers3_hidden4,,,,,,Captioning,,keras,greedy,,38,38,0.0,0.0,1000,1024,,
init_rnn_layers3_hidden4_scratch_greedy_maxlen10,init_rnn_layers3_hidden4,,,,,,Captioning,,scratch,greedy,,10,38,0.0,0.0,1000,1024,,
