model,backend,search,beam_width,max_caption_length,model_input_length,bleu4,meteor,num_predictions,batch_size,execution_time_seconds,seconds_per_image,predictions_path
lstm_layers2_hidden4,keras,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,9.52177925000069,0.009521779250000691,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers2_hidden4_keras_greedy_maxlen20.json
lstm_layers2_hidden4,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,38.96542037501058,0.03896542037501058,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers2_hidden4_keras_greedy_maxlen38.json
lstm_layers2_hidden4,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,22.986558250006055,0.022986558250006055,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers2_hidden4_scratch_greedy_maxlen10.json
lstm_layers2_hidden4,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,45.37442212499445,0.04537442212499445,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers2_hidden4_scratch_greedy_maxlen20.json
lstm_layers2_hidden4,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,89.0143589169893,0.08901435891698929,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers2_hidden4_scratch_greedy_maxlen38.json
lstm_layers3_hidden2,keras,greedy,,10,38,0.13195148827422135,0.14983011252042086,1000,1024,9.686187208993942,0.009686187208993943,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden2_keras_greedy_maxlen10.json
lstm_layers3_hidden2,keras,greedy,,20,38,0.06528519623708016,0.13259301867683518,1000,1024,9.73052433399971,0.00973052433399971,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden2_keras_greedy_maxlen20.json
lstm_layers3_hidden2,keras,greedy,,38,38,0.03406849714556969,0.11024255555364351,1000,1024,45.64715812499344,0.04564715812499344,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden2_keras_greedy_maxlen38.json
lstm_layers3_hidden2,scratch,greedy,,10,38,0.13195148827422135,0.14983011252042086,1000,1024,23.23897454200778,0.02323897454200778,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden2_scratch_greedy_maxlen10.json
lstm_layers3_hidden2,scratch,greedy,,20,38,0.06528519623708016,0.13259301867683518,1000,1024,45.03071266700863,0.04503071266700863,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden2_scratch_greedy_maxlen20.json
lstm_layers3_hidden2,scratch,greedy,,38,38,0.03406849714556969,0.11024255555364351,1000,1024,87.31902529198851,0.08731902529198851,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden2_scratch_greedy_maxlen38.json
lstm_layers3_hidden4,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,8.670645499994862,0.008670645499994863,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden4_keras_greedy_maxlen10.json
lstm_layers3_hidden4,keras,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,9.966886875001364,0.009966886875001364,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden4_keras_greedy_maxlen20.json
lstm_layers3_hidden4,keras,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,43.28345575000276,0.04328345575000276,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden4_keras_greedy_maxlen38.json
lstm_layers3_hidden4,scratch,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,25.764043041999685,0.025764043041999685,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden4_scratch_greedy_maxlen10.json
lstm_layers3_hidden4,scratch,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,60.98224695799581,0.06098224695799581,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden4_scratch_greedy_maxlen20.json
lstm_layers3_hidden4,scratch,greedy,,38,38,0.03628031388552893,0.1775665443019966,1000,1024,114.749727041999,0.114749727041999,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/lstm_layers3_hidden4_scratch_greedy_maxlen38.json
rnn_layers1_hidden2,keras,greedy,,10,38,0.1405093265472343,0.22992152195524113,1000,1024,10.457074707999709,0.01045707470799971,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden2_keras_greedy_maxlen10.json
rnn_layers1_hidden2,keras,greedy,,20,38,0.06951778408708645,0.20747352827199894,1000,1024,9.894855333001033,0.009894855333001032,/Users/kennethpoenadi/Documents/Semester 6/ML/Tubes2/artifacts/predictions/captioning/rnn_layers1_hidden2_keras_greedy_maxlen20.json
